,Unnamed: 0,title,date,author,result,id
0,0,Tom Hanks announces he and his wife are infected with the new crown virus,2020/3/12,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=8c74a7f0c6ae24309ce95ca1ba8c9f7b
392,392,Chlorine dioxide disinfectant can be used for disinfection,2020/1/27,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=912db9b5991ade3979acc28bc7574942
482,490,Norovirus expected to be captured,2017/1/13,,TRUE,https://vp.fact.qq.com/article?id=08b449aba0d975b50c5917596535d91b
485,501,Prevention of hepatitis virus infection and antiviral treatment can effectively prevent liver cancer,2018/2/25,Tencent Medical Code,TRUE,https://vp.fact.qq.com/article?id=a7494be9e574dee6a7350231a45a6005
490,572,New coronavirus invades cells with the same mechanism as SARS,2020/1/24,Section of ginger,TRUE,https://vp.fact.qq.com/article?id=2b13c6d258dc582b865ff5c310982852
496,581,Oral sex may cause HPV virus infection in human throat,2018/2/25,Pan Zhanhe,TRUE,https://vp.fact.qq.com/article?id=6ddf4d2a65eec18d95819d9baf4b6ac8
497,582,Influenza is caused by an influenza virus and is an etiological diagnosis,2019/1/29,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=c16fdb1df57768037983621c3a126ffb
498,583,Viral tonsil inflammation is mild,2019/1/29,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=1749a632e40716f389f0e72ab7fdf2dc
503,588,Antiviral cold medicine is useless,2016/3/23,Rumor Filter,TRUE,https://vp.fact.qq.com/article?id=af52f8a7bc98901d462a1d5d507e35ab
504,589,There is no clear antiviral drug for colds,2016/3/23,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=00a8a66f4f1f99cbca7b7e4cc75aa818
509,594,"After being bitten by a tick, the virus will be transmitted from person to person",2018/7/11,Jun,TRUE,https://vp.fact.qq.com/article?id=c81e1b172b2bdc85d317e36251a8ae80
521,606,Rabies virus spreads through bats,2018/3/25,,TRUE,https://vp.fact.qq.com/article?id=ffb987ff4cfad8b5bf185b4eff7058cd
528,613,Hepatitis virus can cause cirrhosis,2018/1/2,Doctor Lilac,TRUE,https://vp.fact.qq.com/article?id=fc12089c25d2e207a381b7248595b9a1
531,616,Be careful with the virus in your mouth,2017/9/17,Zu Beichen,TRUE,https://vp.fact.qq.com/article?id=91ffc9c1ec61dd5b1a34bf10089b774b
545,690,Continued human papillomavirus (HPV) infection is a major cause of cervical cancer,2019/5/6,Pan Zhanhe,TRUE,https://vp.fact.qq.com/article?id=7296fc590f37d7ac0805084f511388e6
546,691,EB virus is closely related to nasopharyngeal carcinoma and lymphoma,2018/2/25,Sichuan Online,TRUE,https://vp.fact.qq.com/article?id=94c0db171b1b604b36fa7ad2f0209653
549,694,Timing of Entecavir for Hepatitis B Virus,2016/3/15,Ma Qinghua,TRUE,https://vp.fact.qq.com/article?id=1b604f9d6935db21967cb852853b3638
550,695,Cough after infection after infection with cold virus,2016/2/22,Shen Weiyu,TRUE,https://vp.fact.qq.com/article?id=d5719269d5c072c5b89961269ded99a7
557,702,"Classical swine fever virus can be killed by high temperature, high acid or alkaline",2018/8/4,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=dcdd114545af56e7483b86c2d168375f
566,762,Viral hepatitis is a major risk factor for hepatocellular carcinoma,2018/2/25,Section of ginger,TRUE,https://vp.fact.qq.com/article?id=0873880fc1a3f337dcd13b5e7e2eb70d
567,763,Human papilloma virus (HPV) is closely related to cervical and oropharyngeal cancer,2018/2/25,Pan Zhanhe,TRUE,https://vp.fact.qq.com/article?id=9b8220098aeb5b18c2bee8f4ce818557
568,764,Hepatitis B / C virus infection is closely related to primary hepatocellular carcinoma,2018/2/25,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=6bbf1488ee34a08dfa87512d25bfa078
569,765,Common cold is a non-serious upper respiratory infection caused by a virus,2019/1/29,Wei Wei,TRUE,https://vp.fact.qq.com/article?id=3737eb01c00903262aa53de39a5f466e
575,771,HBV infected mothers can breastfeed,2018/11/26,Mare,TRUE,https://vp.fact.qq.com/article?id=6649c3f09181715264875c5f059c961e
576,772,Pre-exposure prophylaxis reduces risk of HIV infection,2017/12/21,Hu Yuandong,TRUE,https://vp.fact.qq.com/article?id=27196990e93192a0c16d4027345c15a8
584,781,Catfish roe is toxic,2019/6/11,Fu Ting,TRUE,https://vp.fact.qq.com/article?id=e8dcafff95728937e62605ff4ade7857
585,782,Fish gall toxic,2019/1/27,Yao Wenyan,TRUE,https://vp.fact.qq.com/article?id=7181bcf527d0a67613e175cc2b4d596f
475,483,Flu can only be caused by the flu virus,2018/1/12,Yu Yan,TRUE,https://vp.fact.qq.com/article?id=35e6847e3a5607fee13aa23fc5364a3c
586,783,Essential oils are toxic to cats,2018/12/8,Ruan Guangfeng,TRUE,https://vp.fact.qq.com/article?id=94bba560c70b43ebc94d92a8d1bf9d7c
467,467,Washing hands and wearing masks can reduce the risk of new coronavirus infections,2020/1/21,Guidance and coordination body on health issues within the United Nations system,TRUE,https://vp.fact.qq.com/article?id=1004b6f11ea6b1b0220fd3df31d54447
439,439,Two passengers on a flight from Singapore to Hangzhou have fever and all passengers are isolated,2020/1/25,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=a317d78f0f5a94a8a3784217eed0c3c3
1,1,NBA official confirms suspension of 2019-2020 season,2020/3/12,True team,TRUE,https://vp.fact.qq.com/article?id=3828ce6a6810424a7459e3d7a34e686b
8,8,Government Notice: Nanyang City Completely Restores Production and Living Order from March 11,2020/3/11,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=a070c6562b159b58e061a9d0038bef89
48,48,"Villagers in Huanggang, Hubei mistakenly take chlorine dioxide disinfection tablets",2020/3/2,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=7bf8bf25a07220ad74d4888acde8389d
82,82,"A ""new crown pneumonia patient has been cured"" in Shenzhen, the security inspector was quarantined",2020/2/25,One of a series of newspapers belonging to Southern Newspaper Media Group,TRUE,https://vp.fact.qq.com/article?id=eb6ab50ce0cf1283172a38b481c91e2d
99,99,Research finds that the source of the new crown virus is not the South China seafood market,2020/2/23,"PhD in Biology, Chinese Academy of Sciences",TRUE,https://vp.fact.qq.com/article?id=21195d878417117c5ff9be5d7cb064ee
101,101,"Video: Jiangxi Ganzhou banned on the fourth day of the ban, many people did not wear masks",2020/2/23,One of a series of newspapers belonging to Southern Newspaper Media Group,TRUE,https://vp.fact.qq.com/article?id=e42b65faf32f825afed68904b694a59d
113,113,Negative nucleic acid test does not rule out new coronavirus infection,2020/2/22,National Health Commission,TRUE,https://vp.fact.qq.com/article?id=223b333fc944b354521730b66a828d14
162,162,"From February 17 to the end of the epidemic prevention and control, all cars on the national highway are free of charge",2020/2/16,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=f8abf1676e86ae9a7e78f99362c120ac
205,205,99.7% absolute ethanol can be diluted to 75% for disinfection,2020/2/12,"PhD in Chemistry, Postdoctoral Fellow at Swiss Federal Institute of Technology",TRUE,https://vp.fact.qq.com/article?id=1dc5d3c0c3504301e4fc9abef65f4d80
208,208,New coronavirus pneumonia is a self-limiting disease,2020/2/11,"Master of Pharmacology, PhD in Pediatrics",TRUE,https://vp.fact.qq.com/article?id=f7a35b08906bfb1254fb561e4f86a701
234,234,"Aerosols are mostly generated in the ICU due to operations such as ventilators, and the general environment is rare",2020/2/9,"Master of Pharmacology, PhD in Pediatrics",TRUE,https://vp.fact.qq.com/article?id=c8028b55b200d4fe596851e5e1e1d6c0
243,243,Asymptomatic patients can also spread new coronavirus,2020/2/9,Guidance and coordination body on health issues within the United Nations system,TRUE,https://vp.fact.qq.com/article?id=d3c6edc94a3a6272151800e177f66f18
276,276,Inhalation of secondhand smoke from virus carriers may infect new coronavirus,2020/2/6,Xie Wangshi,TRUE,https://vp.fact.qq.com/article?id=8a61043246e93c3fd8b979e208af3e10
291,291,"Use alcohol to disinfect, do n’t spray into the air, do n’t spray yourself",2020/2/4,"PhD in Chemistry, Tsinghua University",TRUE,https://vp.fact.qq.com/article?id=06fa8c78e1e32e12d46a4d8f6a2bc325
308,308,"If you cook rice, the virus will be killed",2020/2/3,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=8556230fe0cf93288e72973c9e90587f
312,312,The possibility of spreading new coronavirus in central air-conditioning,2020/2/3,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=6378fc03d92c8b117140d1948e81e769
324,324,Nucleic acid positive in feces of new coronavirus infected people ,2020/2/2,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",TRUE,https://vp.fact.qq.com/article?id=0ee5b891a540fd29f88cc54ea95c0ce5
337,337,WHO believes that there are currently no drugs that specifically prevent the treatment of new coronavirus,2020/2/1,Guidance and coordination body on health issues within the United Nations system,TRUE,https://vp.fact.qq.com/article?id=bd2a494fc8d93d98aa5eaf94f437039e
343,343,Top 10 rumors of new coronavirus pneumonia,2020/1/31,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=b2d2b16f760a2ab1409c6125f6a5361e
347,347,"Guangzhou residents can use the ""Sui Kang"" applet to make an appointment to buy masks at 8 pm on the 30th",2020/1/31,Communist Party of Guangzhou Municipal Committee,TRUE,https://vp.fact.qq.com/article?id=c2d3c8cc9efebfc3afe0fe9ba57f9bcb
370,370,Contact with a virus-contaminated item is contact-borne and may also be infected,2020/1/29,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=2b75236662394dd34dedc5f12a86c8a7
371,371,"Handshake, hug may also spread new coronary pneumonia virus",2020/1/29,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=1f19fb0542fadc8fbd9f952ed7332c7b
383,383,Medical UV lamp can eliminate new coronavirus,2020/1/28,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=ac252026a042f00d28fad5fd77ec6031
414,414,Most patients with new pneumonia can be cured in 2-4 weeks,2020/1/26,"Attending physician, Department of Respirology and Critical Care Medicine, University of California San Diego, Tencent News Knowledge Officer",TRUE,https://vp.fact.qq.com/article?id=8b36f4248c4967953508a03a6b6a5e7a
417,417,New coronavirus infects during incubation period,2020/1/26,Professional medical science popularization platform under Tencent,TRUE,https://vp.fact.qq.com/article?id=65eaa5453bbbb9b79e6a4cb234880266
445,445,Academician Zhong Nanshan said that drugs are currently available for clinical treatment of pneumonia,2020/1/24,Communist Party of Guangzhou Municipal Committee,TRUE,https://vp.fact.qq.com/article?id=5677221c80216203d73ea7fb2dc7e0e7
591,788,Yew is poisonous,2019/1/27,Entomology small fish,TRUE,https://vp.fact.qq.com/article?id=3216ac3fe3ffaa1d5c3e9942cc8da739
1024,1379,"The mask is worn backwards, as long as it fits the face, it can also play a protective role.",2020/3/2,Huang Chen,TRUE,https://vp.fact.qq.com/article?id=9ff6f5b516606e9927847712891c1af0
666,863,Tingling potatoes are poisonous,2017/12/25,,TRUE,https://vp.fact.qq.com/article?id=b6b3571e49c4c599abc8e3ddea820e2f
662,859,You can't take drugs with your mouth if you are bitten by a snake,2018/6/10,Zheng Zheng,TRUE,https://vp.fact.qq.com/article?id=6ce4d5888024ce397a8cdb1906a048b9
630,827,Xylitol is toxic to dogs,2013/10/16,True team,TRUE,https://vp.fact.qq.com/article?id=dc8b5c1c1d1a74ba5f0699420a8be09a
628,825,Pesticides can be non-toxic,2018/8/5,True team,TRUE,https://vp.fact.qq.com/article?id=91693d09098d5721f85acd8cd9f73522
730,930,Toxic gas is generated when toilet cleaning liquid is mixed with 84 disinfectant,2018/8/5,Dr Chunyu,TRUE,https://vp.fact.qq.com/article?id=23440ad9e308c7e05f666a1869492839
676,873,Fish gall may be poisoned,2016/1/21,Section of ginger,TRUE,https://vp.fact.qq.com/article?id=03e4a8279ca46544a51701fe461cf708
646,843,Silver poisoning skin turns blue,2019/4/11,Li Chang,TRUE,https://vp.fact.qq.com/article?id=b64a87488d0f1104969cff85b6add5bf
649,846,Wash your stomach immediately after fish gall poisoning,2019/1/27,Cloudless,TRUE,https://vp.fact.qq.com/article?id=19ecb306b2d5bbb25d267c40afbafae8
607,804,Bitter gourd is poisonous,2017/7/28,Hu Yuandong,TRUE,https://vp.fact.qq.com/article?id=94946727de519d3412a6e5d6fa8ebd57
656,853,Borax poisoning requires immediate medical attention or vomiting,2018/12/10,He Xu,TRUE,https://vp.fact.qq.com/article?id=b7978a8cfd57b3f9a263db3e55e96b51
657,854,Long-term use of boron powder can cause poisoning,2018/12/10,Li Chang,TRUE,https://vp.fact.qq.com/article?id=02a9cd0402ecfb55abfb99a263603fbc
626,823,Drinking water can also poison,2019/5/24,,TRUE,https://vp.fact.qq.com/article?id=ee120edf984251ee75e64695ce7252e9
603,800,Poisonous food poisoning,2018/8/12,Section of ginger,TRUE,https://vp.fact.qq.com/article?id=bb20b4602bf15717ff008816a3f550e4
717,914,Aflatoxin Carcinogenic,2016/6/6,Zhang Lianmin,TRUE,https://vp.fact.qq.com/article?id=9464c432501405bf6a29eedc0a0af317
736,937,84 Disinfectants and toilet cleaners can produce toxic gases when used together,2013/10/31,Yu Hejun,TRUE,https://vp.fact.qq.com/article?id=1b491e6cac38b0ea224188d87761082a
605,802,"""Arabic tea"" is a drug",2018/6/25,Zhong Kai,TRUE,https://vp.fact.qq.com/article?id=f4be60eee2f880f00a618260d284a90a
